bioproject,study_title,n_samples,paper_pmid,paper_doi,paper_title,paper_abstract_excerpt,search_status
PRJNA1342176,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - E22_A_7_drought metagenome",1,,,,,pending
PRJNA1342396,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR rhizoplane_3c N15 metagenome",1,,,,,pending
PRJNA1342787,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR rhizoplane_2c N15 metagenome",1,,,,,pending
PRJNA1342926,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - G12_A_3_control metagenome",1,,,,,pending
PRJNA1342927,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F12_B_4_control metagenome",1,,,,,pending
PRJNA1342928,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I22_A_5_control metagenome",1,,,,,pending
PRJNA1343007,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L3_TR_GHRAS_01 metagenome",1,,,,,pending
PRJNA1343008,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I14_B_4_control metagenome",1,,,,,pending
PRJNA1343084,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - D15_B_3_drought metagenome",1,,,,,pending
PRJNA1343087,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - H4_A_2_drought metagenome",1,,,,,pending
PRJNA1343088,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - E22_B_7_drought metagenome",1,,,,,pending
PRJNA1343162,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - J2_B_2_control metagenome",1,,,,,pending
PRJNA1343164,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - C22_A_7_drought metagenome",1,,,,,pending
PRJNA1343240,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L1_T2_FRAS_01 metagenome",1,,,,,pending
PRJNA1343241,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - D2_B_0_control metagenome",1,,,,,pending
PRJNA1343296,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - WT_T2_FRAS_01 metagenome",1,,,,,pending
PRJNA1343298,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L4_TR_GHRAS_03 metagenome",1,,,,,pending
PRJNA1343300,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - B1_B_0_drought metagenome",1,,,,,pending
PRJNA1343301,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - J4_B_0_control metagenome",1,,,,,pending
PRJNA1343302,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F3_B_0_drought metagenome",1,,,,,pending
PRJNA1343303,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - G5_B_2_control metagenome",1,,,,,pending
PRJNA1343304,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F11_B_3_drought metagenome",1,,,,,pending
PRJNA1343305,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - G11_B_3_drought metagenome",1,,,,,pending
PRJNA1343306,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - A15_B_4_drought metagenome",1,,,,,pending
PRJNA1343307,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - G24_A_5_control metagenome",1,,,,,pending
PRJNA1343363,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - KLW rhizoplane_5d N15 metagenome",1,,,,,pending
PRJNA1343366,"Root microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - CIR root_1f N15 metagenome",1,,,,,pending
PRJNA1343367,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - KLW rhizoplane_4d N15 metagenome",1,,,,,pending
PRJNA1343457,"Rhizoplane soil microbial communities from switchgrass plant in W.K. Kellogg Biological Station, Michigan, USA - KLW rhizoplane_6d N15 metagenome",1,,,,,pending
PRJNA1343479,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F22_B_5_drought metagenome",1,,,,,pending
PRJNA1343480,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I13_B_3_drought metagenome",1,,,,,pending
PRJNA1343481,"Sugarcane rhizosphere microbial communities from a greenhouse in University of Florida, Reddick, FL, USA - L5_TR_GHRAS_02 metagenome",1,,,,,pending
PRJNA1343522,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - G3_B_0_drought metagenome",1,,,,,pending
PRJNA1343524,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - C22_B_7_drought metagenome",1,,,,,pending
PRJNA1343525,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I14_A_4_control metagenome",1,,,,,pending
PRJNA1343526,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F2_B_2_control metagenome",1,,,,,pending
PRJNA1343572,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I2_B_0_drought metagenome",1,,,,,pending
PRJNA1343573,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I5_B_0_control metagenome",1,,,,,pending
PRJNA1343574,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F14_A_4_drought metagenome",1,,,,,pending
PRJNA1343576,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - B5_B_2_drought metagenome",1,,,,,pending
PRJNA1343626,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L5_T2_FRAS_02 metagenome",1,,,,,pending
PRJNA1343627,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L5_T2_FRAS_03 metagenome",1,,,,,pending
PRJNA1343629,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - G12_B_3_control metagenome",1,,,,,pending
PRJNA1343630,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - J5_A_0_drought metagenome",1,,,,,pending
PRJNA1343631,"Sugarcane rhizosphere microbial communities from experimental field in University of Florida, Reddick, FL, USA - L1_T2_FRAS_02 metagenome",1,,,,,pending
PRJNA1343632,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F3_A_0_drought metagenome",1,,,,,pending
PRJNA1343635,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F14_B_4_drought metagenome",1,,,,,pending
PRJNA1343681,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F2_A_2_control metagenome",1,,,,,pending
PRJNA1343682,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - J5_B_0_drought metagenome",1,,,,,pending
PRJNA1343683,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - G2_A_2_control metagenome",1,,,,,pending
PRJNA1343684,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - F12_A_4_control metagenome",1,,,,,pending
PRJNA1343685,"Panicgrass rhizosphere microbial communities from growth chamber in LBNL, Berkeley, California, USA - I11_B_3_control metagenome",1,,,,,pending
PRJNA1343801,"Switchgrass rhizosphere microbial communities from common garden in Temple, Texas, USA - STR.TX.3D.D28.F metagenome",1,,,,,pending
PRJNA1343924,"Switchgrass rhizosphere microbial communities from common garden in Aurora, Illinois, USA - STR.IL.3E.D28.F metagenome",1,,,,,pending
PRJNA1347217,Studying on the development of rhizosphere microbiome between diseased and healthy tomato plants,1,,,,,pending
PRJNA1348955,,29,,,,,pending
PRJNA1367536,,60,,,,,pending
PRJNA1370252,Original data of metagenome in the rhizosphere soil of Tamarix,11,,,,,pending
PRJNA1370302,"Multi-omic profiling of soybean rhizosphere interactions under salt stress: rhizosphere shotgun metagenomes, Thalassospira xiamenensis whole-genome sequencing, and Glycine max root RNA-seq with and without inoculation",22,,,,,pending
PRJNA1370513,Bacillus altitudinis phage isolated from maize rhizosphere,1,,,,,pending
PRJNA1373453,rhizosphaera Camelliae sinensis var. assamicae Raw sequence reads,30,,,,,pending
PRJNA1379154,Rhizosphere soil metagenome,6,,,,,pending
PRJNA1380041,Compartmental and functional responses of the citrus microbiome and resistome to the systemic delivery of oxytetracycline by trunk injection,22,,,,,pending
PRJNA1394199,Metagenomic analysis of the watermelon rhizosphere microbiome under healthy and Fusarium wilt disease conditions,10,,,,,pending
PRJNA1394214,,16,,,,,pending
PRJNA1395320,,9,,,,,pending
PRJNA1401274,,18,,,,,pending
PRJNA1402372,,45,,,,,pending
PRJNA1402512,,12,,,,,pending
PRJNA1403447,,22,,,,,pending
PRJNA1403503,,17,,,,,pending
PRJNA1403647,Metabolomic and Microbiome Responses to Drought Stress in Drought-Tolerant and Drought-Sensitive Bermudagrass,12,,,,,pending
PRJNA1403739,,17,,,,,pending
PRJNA1404893,,6,,,,,pending
PRJNA1407950,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-1-TAS-02.24 small pot metagenome",1,,,,,pending
PRJNA1407953,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-MOC-01.15 small pot metagenome",1,,,,,pending
PRJNA1407955,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-CRI-03.30 small pot metagenome",1,,,,,pending
PRJNA1408037,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-1-VIR-08.9 small pot metagenome",1,,,,,pending
PRJNA1408041,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-CRI-01.29 small pot metagenome",1,,,,,pending
PRJNA1408126,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - S-VIR.50 small pot metagenome",1,,,,,pending
PRJNA1408344,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-CRI-06.26 small pot metagenome",1,,,,,pending
PRJNA1408348,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-1-YON-01.41 small pot metagenome",1,,,,,pending
PRJNA1408433,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-MOC-06.11 small pot metagenome",1,,,,,pending
PRJNA1408523,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-MOC-02.10 small pot metagenome",1,,,,,pending
PRJNA1408602,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - S-CRI.53 small pot metagenome",1,,,,,pending
PRJNA1408604,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - S-YON.54 small pot metagenome",1,,,,,pending
PRJNA1408605,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-TAS-05.23 small pot metagenome",1,,,,,pending
PRJNA1408782,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-1-MOC-03.17 small pot metagenome",1,,,,,pending
PRJNA1408954,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-MOC-07.14 small pot metagenome",1,,,,,pending
PRJNA1408956,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-YON-06.34 small pot metagenome",1,,,,,pending
PRJNA1409288,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-TAS-02.21 small pot metagenome",1,,,,,pending
PRJNA1409454,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-1-CRI-04.33 small pot metagenome",1,,,,,pending
PRJNA1409593,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-YON-07.36 small pot metagenome",1,,,,,pending
PRJNA1409756,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-VIR-04.1 small pot metagenome",1,,,,,pending
PRJNA1410125,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-1-VIR-04.8 small pot metagenome",1,,,,,pending
PRJNA1410127,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-VIR-01.7 small pot metagenome",1,,,,,pending
PRJNA1410199,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - S-TAS.52 small pot metagenome",1,,,,,pending
PRJNA1410217,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-1-CRI-03.31 small pot metagenome",1,,,,,pending
PRJNA1410334,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-CRI-07.27 small pot metagenome",1,,,,,pending
PRJNA1410382,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-VIR-07.2 small pot metagenome",1,,,,,pending
PRJNA1410507,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-VIR-01.3 small pot metagenome",1,,,,,pending
PRJNA1410920,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-VIR-05.5 small pot metagenome",1,,,,,pending
PRJNA1411087,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-M0C-04.13 small pot metagenome",1,,,,,pending
PRJNA1411089,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-CRI-03.25 small pot metagenome",1,,,,,pending
PRJNA1411377,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-CRI-06.28 small pot metagenome",1,,,,,pending
PRJNA1411379,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-YON-02.35 small pot metagenome",1,,,,,pending
PRJNA1411530,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-MOC-06.16 small pot metagenome",1,,,,,pending
PRJNA1411531,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-YON-07.39 small pot metagenome",1,,,,,pending
PRJNA1411730,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-YON-01.37 small pot metagenome",1,,,,,pending
PRJNA1411731,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-1-YON-06.40 small pot metagenome",1,,,,,pending
PRJNA1411845,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - S-MOC.51 small pot metagenome",1,,,,,pending
PRJNA1411925,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-YON-02.38 small pot metagenome",1,,,,,pending
PRJNA1411926,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-2-TAS-04.20 small pot metagenome",1,,,,,pending
PRJNA1412031,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-TAS-01.19 small pot metagenome",1,,,,,pending
PRJNA1412136,"Rhizosphere microbial communities from alfalfa plant in greenhouse of the University of Arizona, Tucson, AZ, USA - L-3-TAS-03.18 small pot metagenome",1,,,,,pending
PRJNA1414627,,24,,,,,pending
PRJNA1415698,,10,,,,,pending
PRJNA1415985,Shoreline sediment metagenomic data of three plant zones,9,,,,,pending
PRJNA1417119,soil Raw sequence reads,42,,,,,pending
PRJNA1417946,rhizosphere soil metagenome from Medicago sativa Raw sequence reads,8,,,,,pending
PRJNA1417967,,6,,,,,pending
PRJNA1418015,Rice rhizosphere metagenome,9,,,,,pending
PRJNA1418489,,9,,,,,pending
PRJNA1427379,,36,,,,,pending
PRJNA1427727,Shotgun metagenomic sequencing of rhizosphere microbiomes associated with cochineal-resistant and susceptible cactus species.,60,,,,,pending
PRJNA1427762,,48,,,,,pending
PRJNA1429035,,21,,,,,pending
PRJNA1437046,,1,,,,,pending
PRJNA1437504,,12,,,,,pending
PRJNA1437534,,3,,,,,pending
PRJNA1437836,Metagenomic sequencing of wheat and maize microbiome,6,,,,,pending
PRJNA1438069,,29,,,,,pending
PRJNA1438112,,7,,,,,pending
PRJNA1439554,,12,,,,,pending
PRJNA1440967,Different cropping regimes on rhizosphere metagenomics,16,,,,,pending
PRJNA1447687,,18,,,,,pending
PRJNA1449985,,27,,,,,pending
PRJNA1452514,,9,,,,,pending
PRJNA1452530,,11,,,,,pending
PRJNA1455092,,12,,,,,pending
PRJNA1455701,Coffea canephora shotgun metagenomics,17,,,,,pending
PRJNA167002,Beta vulgaris subsp. vulgaris Targeted Locus (Loci),1,,,,,pending
PRJNA233430,Soil Metagenome,6,,,,,pending
PRJNA278090,Agricultural soil and sugarcane root microbial community Raw sequence reads,14,,,,,pending
PRJNA286839,Sn-Rhizo-Meta Raw sequence reads,1,,,,,pending
PRJNA291548,banana endophytic actinobacteria Raw sequence reads,1,,,,,pending
PRJNA295001,Pomegranate Rhizosphere soil Genome sequencing,12,,,,,pending
PRJNA295627,Oryza sativa Raw sequence reads,3,,,,,pending
PRJNA322597,Deciphering correlation between roots associated microbial communities and repressive potential of essential oil from two different genotypes of Chrysopogon zizazinoides (L.),3,,,,,pending
PRJNA323989,Hippophae rhamnoides Raw sequence reads,20,,,,,pending
PRJNA324090,rhizosphere metagenome Raw sequence reads,6,,,,,pending
PRJNA329915,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape MF_Col_mTSA metagenome",1,,,,,pending
PRJNA329916,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape MF_Col_mMS metagenome",1,,,,,pending
PRJNA329917,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape CL_Col_mTSA metagenome",1,,,,,pending
PRJNA329918,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape CL_Col_mLB metagenome",1,,,,,pending
PRJNA329919,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape CL_Col_mMS metagenome",1,,,,,pending
PRJNA329920,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape CL_Col_mCL metagenome",1,,,,,pending
PRJNA329921,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape MF_Cvi_mTSA metagenome",1,,,,,pending
PRJNA329922,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape MF_Cvi_mMF metagenome",2,,,,,pending
PRJNA329923,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape CL_Cvi_mTSA metagenome",1,,,,,pending
PRJNA329924,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape CL_Cvi_mLB metagenome",1,,,,,pending
PRJNA329925,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape CL_Cvi_mMS metagenome",1,,,,,pending
PRJNA330030,"Rhizosphere microbial communities from Harvard Forest, USA - C-1 metagenome",1,,,,,pending
PRJNA330031,"Rhizosphere microbial communities from Harvard Forest, USA - C-2 metagenome",1,,,,,pending
PRJNA330032,"Rhizosphere microbial communities from Harvard Forest, USA - C-3 metagenome",1,,,,,pending
PRJNA330033,"Rhizosphere microbial communities from Harvard Forest, USA - C-4 metagenome",1,,,,,pending
PRJNA330034,"Rhizosphere microbial communities from Harvard Forest, USA - C-5 metagenome",1,,,,,pending
PRJNA330362,"Switchgrass rhizosphere bulk soil microbial communities from Kellogg Biological Station, Michigan, USA, with spike-in - S5 metagenome",1,,,,,pending
PRJNA336798,Arabidopsis rhizosphere microbial communities from the University of North Carolina - sample Wild type Col-0 metagenome,6,,,,,pending
PRJNA336799,Arabidopsis rhizosphere microbial communities from the University of North Carolina - sample Mutant cpr5 metagenome,2,,,,,pending
PRJNA338194,rhizosphere metagenome,18,,,,,pending
PRJNA340596,"Agave microbial communities from Guanajuato, Mexico - At.Am.rz",1,,,,,pending
PRJNA362455,citrus rhizosphere Metagenome,3,,,,,pending
PRJNA364919,"Plant-associated fungal endosymbiont bacterial communities from Michigan, USA - Mortierella elongata AD073 Glomeribacter phylotype 2 & Mollicutes-related endobacteria (MRE) phylotype 1 Resequencing metagenome",1,,,,,pending
PRJNA364923,"Terrestrial fungal endosymbiont bacterial communities from North Carolina, USA - Mortierella minutissima REB-025A Glomeribacter phylotype 4 Resequencing metagenome",1,,,,,pending
PRJNA365026,"Plant-associated fungal endosymbiont bacterial communities from North Carolina, USA - Mortierella humilis PMI_1414 - Glomeribacter phylotype 2 Metagenome metagenome",8,,,,,pending
PRJNA365030,Terrestrial fungal endosymbiont bacterial communities from New Zealand - Mortierella humilis AD003 Glomeribacter phylotype 2 Resequencing metagenome,1,,,,,pending
PRJNA365466,"Root nodule microbial communities of legume samples collected from USA, Mexico and Botswana - Cow pea red BW metagenome",1,,,,,pending
PRJNA365467,"Root nodule microbial communities of legume samples collected from USA, Mexico and Botswana - Cow pea white BW metagenome",1,,,,,pending
PRJNA365468,"Root nodule microbial communities of legume samples collected from USA, Mexico and Botswana - M. trunc garden sep15 metagenome",1,,,,,pending
PRJNA365469,"Root nodule microbial communities of legume samples collected from USA, Mexico and Botswana - Siratro red BW metagenome",1,,,,,pending
PRJNA365470,"Root nodule microbial communities of legume samples collected from USA, Mexico and Botswana - Siratro white BW metagenome",1,,,,,pending
PRJNA365649,"Rhizosphere microbial communities from Harvard Forest, USA - 3Rhizosphere_NRneg metaG metagenome",1,,,,,pending
PRJNA365651,"Rhizosphere microbial communities from Harvard Forest, USA - 5Rhizosphere_NRneg metaG metagenome",1,,,,,pending
PRJNA365657,"Rhizosphere microbial communities from Harvard Forest, USA - 4Rhizosphere_NRpos metaG metagenome",1,,,,,pending
PRJNA365876,"Rhizosphere microbial communities from Harvard Forest, USA - 2Rhizosphere_unsorted metaG metagenome",1,,,,,pending
PRJNA365879,"Rhizosphere microbial communities from Harvard Forest, USA - 6Rhizosphere_unsorted metaG metagenome",1,,,,,pending
PRJNA366073,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape MF_Col_mLB metagenome",1,,,,,pending
PRJNA366074,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape MF_Col_mMF metagenome",1,,,,,pending
PRJNA366075,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape MF_Cvi_mLB metagenome",1,,,,,pending
PRJNA366076,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape MF_Cvi_mMS metagenome",1,,,,,pending
PRJNA366077,"Arabidopsis root microbial communities from the University of North Carolina, USA - plate scrape CL_Cvi_mCL metagenome",1,,,,,pending
PRJNA366977,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Rhizosphere soil Co-N PM metagenome",1,,,,,pending
PRJNA366978,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Endophyte Co-N S PM metagenome",1,,,,,pending
PRJNA366979,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant Co AM metagenome",1,,,,,pending
PRJNA366980,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant M1 AM metagenome",1,,,,,pending
PRJNA366981,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant M2 AM metagenome",1,,,,,pending
PRJNA366982,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant M3 AM metagenome",1,,,,,pending
PRJNA366983,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant Co PM metagenome",1,,,,,pending
PRJNA366984,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant M1 PM metagenome",1,,,,,pending
PRJNA366985,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant M2 PM metagenome",1,,,,,pending
PRJNA366986,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant M3 PM metagenome",1,,,,,pending
PRJNA366987,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant Co S AM metagenome",1,,,,,pending
PRJNA366988,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant M1 S AM metagenome",1,,,,,pending
PRJNA366989,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant M2 S AM metagenome",1,,,,,pending
PRJNA366990,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant M3 S AM metagenome",1,,,,,pending
PRJNA366991,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant Co S PM metagenome",1,,,,,pending
PRJNA366992,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant M1 S PM metagenome",1,,,,,pending
PRJNA366993,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant M2 S PM metagenome",1,,,,,pending
PRJNA366994,"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling - Inoculated plant M3 S PM metagenome",1,,,,,pending
PRJNA367465,"Terrestrial fungal endosymbiont bacterial communities from Utah, USA - Mortierella elongata AD022 Glomeribacter phylotype 2 Resequencing metagenome",1,,,,,pending
PRJNA367466,"Plant-associated fungal endosymbiont bacterial communities from Michigan, USA - Mortierella minutissima AD065 - Glomeribacter phylotype 2 & Mollicutes-related endobacteria (MRE) phylotype 1 Resequencing metagenome",2,,,,,pending
PRJNA369422,Metagenomics of the Dioon Merolae coralloid root endosymbionts,8,,,,,pending
PRJNA370772,Podila minutissima AD051 Glomeribacter phylotype 3 Fungal Standard Draft,10,,,,,pending
PRJNA375140,Root nodule microbial communities of legume samples collected from Mexico - Siratro Mexico nodule mix metagenome,1,,,,,pending
PRJNA375141,Root nodule microbial communities of legume samples collected from Mexico - Turtle bean Mexico pink nodule metagenome,1,,,,,pending
PRJNA375142,Root nodule microbial communities of legume samples collected from Mexico - Turtle bean Mexico white nodule metagenome,1,,,,,pending
PRJNA375486,"Arabidopsis rhizosphere microbial communities from North Carolina, USA - plate scrape MF_Col_mCL_r2 metagenome",1,,,,,pending
